[1/5] Building TPC-DS DuckDB (sf=1) ...
[2/5] Category 'enriched': setting up workspace ...
[3/5] Running agent per query (13 queries, fresh context each, concurrency=2) — deepseek/deepseek-chat ...
  [q02] starting (worker _worker_1)
  [q06] starting (worker _worker_0)
  [q06] done in 185s (exit 0, score=fail)
  [q17] starting (worker _worker_0)
  [q02] done in 224s (exit 0, score=pass)
  [q44] starting (worker _worker_1)
  [q17] done in 139s (exit 0, score=pass)
  [q49] starting (worker _worker_0)
  [q44] done in 137s (exit 0, score=pass)
  [q50] starting (worker _worker_1)
  [q50] done in 48s (exit 0, score=fail)
  [q59] starting (worker _worker_1)
  [q49] done in 321s (exit 0, score=fail)
  [q64] starting (worker _worker_0)
  [q59] done in 300s (exit 0, score=fail)
  [q75] starting (worker _worker_1)
  [q64] done in 202s (exit 0, score=fail)
  [q76] starting (worker _worker_0)
  [q75] done in 351s (exit 0, score=fail)
  [q77] starting (worker _worker_1)
  [q77] done in 252s (exit 0, score=fail)
  [q78] starting (worker _worker_1)
  [q76] done in 470s (exit 2, score=exhausted)
  [q86] starting (worker _worker_0)
  [q78] done in 249s (exit 0, score=fail)
  [q86] done in 364s (exit 0, score=pass)
[4/5] Finalising scores for 13 queries ...
  spliced 86 prior results from 20260606-222624
  wrote C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\charts\dashboard_enriched_v2.png  (79 trilogy failures -> C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\charts\trilogy_failures_enriched.md)
[5/5] Done. Artifacts in C:\Users\ethan\coding_projects\pytrilogy_two\evals\tpcds_agent\results\20260607-005408

# TPC-DS Agent Eval — 20260607-005408

- Model: `deepseek/deepseek-chat`
- Scale factor: 1  |  Queries: 99  |  Trilogy: 0.3.282

## Result

- **Pass rate: 49/99** (50%)
- Status breakdown: {'pass': 49, 'timeout': 1, 'fail': 45, 'exhausted': 4}
- Wall time: 1692.4s  |  Agent time: 3243.3s  |  Avg/query: 249.5s
- Agent exit code: 1

## Agent harness metrics

- LLM iterations: 511
- Tool calls: 578  →  {'trilogy': 566, 'return_control_to_user': 12}
- `trilogy` subcommands: {'agent-info': 27, 'file': 196, 'explore': 122, 'run': 218, 'database': 3}
- Tool success rate: 86% (499/578 ok)
- Tokens: 22761966 total (22561379 prompt + 200587 completion)

## Tool-output sizes

| Tool | calls | avg chars | max chars | truncated | trunc-rate |
|---|---:|---:|---:|---:|---:|
| `trilogy` | 566 | 3102 | 39148 | 0 | 0% |
| `return_control_to_user` | 12 | 26 | 26 | 0 | 0% |

- Repeated calls (same args seen earlier in same query): {'trilogy': 131} — total 131

## Per-query

| Query | Status | Ref rows | Cand rows | SQL len | Detail |
|------:|:-------|---------:|----------:|--------:|:-------|
| 01 | pass | 100 | 100 | 1843 |  |
| 02 | pass | 53 | 53 | 8807 |  |
| 03 | pass | 89 | 89 | 827 |  |
| 04 | pass | 6 | 6 | 6333 |  |
| 05 | timeout | 0 | 0 | 0 | agent timed out (was: missing) — no query file produced |
| 06 | fail | 46 | 46 | 2570 | result set differs from reference |
| 07 | pass | 100 | 100 | 1600 |  |
| 08 | pass | 5 | 5 | 2974 |  |
| 09 | pass | 1 | 1 | 6137 |  |
| 10 | pass | 6 | 6 | 5486 |  |
| 11 | pass | 90 | 90 | 7416 |  |
| 12 | pass | 100 | 100 | 4769 |  |
| 13 | pass | 1 | 1 | 2826 |  |
| 14 | fail | 100 | 100 | 13485 | result set differs from reference |
| 15 | fail | 100 | 100 | 1171 | result set differs from reference |
| 16 | pass | 1 | 1 | 3277 |  |
| 17 | pass | 0 | 0 | 6679 |  |
| 18 | fail | 100 | 100 | 3450 | result set differs from reference |
| 19 | pass | 100 | 100 | 1683 |  |
| 20 | pass | 100 | 100 | 2847 |  |
| 21 | pass | 100 | 100 | 1294 |  |
| 22 | pass | 100 | 100 | 1277 |  |
| 23 | fail | 4 | 0 | 11704 | result set differs from reference |
| 24 | fail | 1 | 1 | 5517 | result set differs from reference |
| 25 | fail | 1 | 36 | 12010 | result set differs from reference |
| 26 | pass | 100 | 100 | 1318 |  |
| 27 | pass | 100 | 100 | 2261 |  |
| 28 | pass | 1 | 1 | 5969 |  |
| 29 | pass | 1 | 1 | 14278 |  |
| 30 | fail | 100 | 100 | 9258 | result set differs from reference |
| 31 | fail | 44 | 45 | 4721 | result set differs from reference |
| 32 | pass | 1 | 1 | 1064 |  |
| 33 | pass | 100 | 100 | 4131 |  |
| 34 | pass | 455 | 455 | 1960 |  |
| 35 | fail | 100 | 100 | 11736 | result set differs from reference |
| 36 | fail | 100 | 100 | 3359 | result set differs from reference |
| 37 | pass | 1 | 1 | 1537 |  |
| 38 | exhausted | 1 | 1 | 867 | agent exhausted iterations (was: fail) — result set differs from reference |
